id,uu_id,name,year,time,imdb,votes,meta_score,gross,description,price,certification_id
1,505163bc-c8ae-4292-a9d1-13a10cc0525e,Fake Movie Title 1,1999,179,5.6,891447,64,332419505,A description for 'Fake Movie Title 1'.,19.99,3
2,8ab5dd78-21f2-4c44-b24d-a3c4e4378846,Fake Movie Title 2,2004,92,6.0,505848,95,226884029,A description for 'Fake Movie Title 2'.,19.99,6
3,31ec435a-5061-4009-bfe7-4c441e60612f,Fake Movie Title 3,1991,174,5.6,571655,54,185511442,A description for 'Fake Movie Title 3'.,9.99,5
4,7fe05c61-7c03-4e5a-b911-d2f3dae3993a,Fake Movie Title 4,2014,122,7.9,249992,93,345702188,A description for 'Fake Movie Title 4'.,9.99,1
5,0fc42e20-02f0-46aa-b4cb-e77f2eadb4b1,Fake Movie Title 5,1999,129,9.2,905304,89,167441810,A description for 'Fake Movie Title 5'.,19.99,6
6,95d35e20-76ba-4710-9c61-f4cb0cd85a5b,Fake Movie Title 6,1995,164,4.3,116058,71,5571552,A description for 'Fake Movie Title 6'.,14.99,3
7,df71437b-2365-4243-b472-6293a937a3e6,Fake Movie Title 7,1998,137,5.6,995479,,184576648,A description for 'Fake Movie Title 7'.,9.99,6
8,3e7a9251-6933-413d-81f7-77a0bececf76,Fake Movie Title 8,2006,93,4.2,323736,46,495514959,A description for 'Fake Movie Title 8'.,19.99,3
9,bf1289c1-44c2-4aac-9882-2dba0019de5e,Fake Movie Title 9,1990,86,5.1,923546,,,A description for 'Fake Movie Title 9'.,9.99,2
10,efb876ee-f5bb-4996-b572-d49ab91b984d,Fake Movie Title 10,2008,123,5.9,730014,42,242026637,A description for 'Fake Movie Title 10'.,14.99,2
11,5bbcd15f-36c9-40bc-8c4a-a1080dfd1e08,Fake Movie Title 11,1992,99,6.6,837640,99,357005792,A description for 'Fake Movie Title 11'.,9.99,5
12,fac70948-e6dc-4c05-8e28-9e218e5e4495,Fake Movie Title 12,1985,132,5.8,957323,38,247074948,A description for 'Fake Movie Title 12'.,9.99,4
13,4556e4e2-ddd5-4d4c-a569-b7f021dd479a,Fake Movie Title 13,1996,150,7.2,533724,92,,A description for 'Fake Movie Title 13'.,14.99,1
14,e18090e2-3a8b-4fbd-992e-f9ded2898ff6,Fake Movie Title 14,1999,134,8.8,683126,56,288337643,A description for 'Fake Movie Title 14'.,14.99,2
15,788bfe31-3e69-463a-94b4-b3a79a87e8a6,Fake Movie Title 15,2008,87,4.3,504655,58,37804444,A description for 'Fake Movie Title 15'.,14.99,2
16,8055db42-8f9d-4e1e-8592-2fac22205696,Fake Movie Title 16,1982,114,8.1,18055,54,196911268,A description for 'Fake Movie Title 16'.,4.99,4
17,79ffe228-270a-4092-b3d4-7523862e0a84,Fake Movie Title 17,2014,120,7.8,369096,90,458489802,A description for 'Fake Movie Title 17'.,4.99,1
18,f0c70398-2647-42a9-b83a-76e6de487f13,Fake Movie Title 18,2020,106,6.4,144818,,479631246,A description for 'Fake Movie Title 18'.,14.99,2
19,8a182e72-ab26-45f6-a40c-7aea8adb7ad6,Fake Movie Title 19,1991,87,5.4,937141,44,432176060,A description for 'Fake Movie Title 19'.,19.99,1
20,acaa6b93-eaa8-4b54-821d-dfbcd18e9c93,Fake Movie Title 20,2013,102,6.0,403728,56,234187495,A description for 'Fake Movie Title 20'.,4.99,3
21,1594eb28-1f9f-411d-b0a4-196bf875d541,Fake Movie Title 21,2004,134,4.3,59499,84,305168487,A description for 'Fake Movie Title 21'.,9.99,2
22,c88acda0-d553-42d5-b856-af924fdda1ac,Fake Movie Title 22,2003,112,5.1,313089,82,,A description for 'Fake Movie Title 22'.,9.99,3
23,16173666-e1fd-419a-bea9-49ee9879617f,Fake Movie Title 23,1997,146,8.4,312540,82,343686453,A description for 'Fake Movie Title 23'.,19.99,2
24,e755c3e1-e6d4-4890-85e5-c691c45b05c4,Fake Movie Title 24,1983,121,7.2,924758,84,182771671,A description for 'Fake Movie Title 24'.,9.99,4
25,170b31d4-b58c-4997-80c1-d8de659fe116,Fake Movie Title 25,1990,81,9.0,421390,75,,A description for 'Fake Movie Title 25'.,4.99,4
26,f8a0c046-85f9-4eba-a1bd-d0806fd7eb4b,Fake Movie Title 26,2002,87,7.7,433349,89,22062849,A description for 'Fake Movie Title 26'.,9.99,5
27,23e74c67-e392-4a12-974c-3018dad62402,Fake Movie Title 27,1985,85,6.8,800211,95,406060376,A description for 'Fake Movie Title 27'.,19.99,6
28,b45c9e79-ac0d-4cbb-824a-bab5dcbaf783,Fake Movie Title 28,2020,127,8.5,148100,64,365048984,A description for 'Fake Movie Title 28'.,9.99,4
29,9c1f9468-b6bf-4344-aa01-90b2584530df,Fake Movie Title 29,1991,134,4.6,507767,54,49798947,A description for 'Fake Movie Title 29'.,4.99,1
30,df7431e2-7e1f-4be8-a251-afea3c66b6eb,Fake Movie Title 30,2025,82,6.9,792086,76,18540152,A description for 'Fake Movie Title 30'.,19.99,1
31,cb9e4794-abff-4c41-986b-a1f49b0f8144,Fake Movie Title 31,2011,126,5.4,784308,,1795625,A description for 'Fake Movie Title 31'.,14.99,1
32,4fa0d947-0e13-47af-8536-1dfab971cf50,Fake Movie Title 32,2025,81,6.7,138031,44,451830378,A description for 'Fake Movie Title 32'.,14.99,5
33,9b4b4d3a-346d-4150-9773-863133ca9d58,Fake Movie Title 33,1987,125,4.2,450880,,217717972,A description for 'Fake Movie Title 33'.,19.99,1
